age,cps_data,Current parameters,Calibrated parameters,chi_n_Current parameters,chi_n_Calibrated parameters
20,0.17229337769080316,0.3860481280884224,0.18357542538326221,38.12000874,535.1714874824348
21,0.1951859390395307,0.3687572929987068,0.1932853491084435,33.22762421,387.0101510824725
22,0.21289005660104734,0.39857167040859426,0.21653481157951043,25.3484224,260.2299843114041
23,0.24206056157151987,0.37767407615330517,0.2406185841964322,26.67954008,182.605606531273
24,0.26744136496525867,0.3870058185989488,0.2648804321475915,24.41097278,134.23900876052844
25,0.2856736589319131,0.3915154543704293,0.2809414464008988,23.15059004,109.83604995512862
26,0.2902368689328331,0.39210464902170544,0.28944598850277814,22.46771332,96.91605355532529
27,0.2929433496854971,0.3917071995849398,0.29276960971670757,21.85495452,88.9605415106691
28,0.29562600618036233,0.38921038622568704,0.2963005768351534,21.46242013,81.48734254906776
29,0.30081024610306933,0.37945992159595304,0.2979607598659128,22.00364263,76.28713009388571
30,0.2979044739629512,0.3801573923414217,0.3007366990710801,21.57322063,72.17673693612689
31,0.3039391809247278,0.3795444554808807,0.30087434782468614,21.53371545,70.88966270527855
32,0.30121007976299863,0.38194717107824905,0.3024501693838986,21.29828515,69.91839846153277
33,0.30262517498441327,0.3845888074974268,0.302423954430584,21.10144524,70.14656874041081
34,0.3038551988150483,0.3875357264016465,0.3026295037325157,20.8617942,70.25043301681666
35,0.3018219112017709,0.39052328566041594,0.30298992295225713,20.57282,69.98398601645239
36,0.30369993823843455,0.3913250329330895,0.30133363980895866,20.47473172,70.34484645321764
37,0.29887538828706395,0.3929270322253666,0.3002341912314821,20.31111347,70.4854416095375
38,0.29851127016278467,0.40667209454659586,0.30206136724352173,19.04137299,69.78468589860142
39,0.3091717109408103,0.41025015396103676,0.3042935786107511,18.92616951,69.53516201108901
40,0.3055650291548994,0.39690187379808467,0.30597168733364266,20.58517969,69.9335826772427
41,0.3035407831862388,0.40125014875795056,0.3072137778606674,20.48761429,70.60757245184514
42,0.31289303684627406,0.407068160256409,0.30784108494510387,20.21744847,71.44687737182265
43,0.30743944612279744,0.4123542281899664,0.3101170997527765,19.9577682,71.34571173184517
44,0.31035965255467707,0.41756446270003983,0.3079080614975963,19.66931057,73.18784186302541
45,0.30625016806407823,0.41958650384341395,0.30562709172074065,19.6878927,75.17297922462335
46,0.30057948685023417,0.4226009800481057,0.3039681994252172,19.63107201,77.06467343497943
47,0.3053666658263259,0.42522805384429047,0.3023730519665887,19.63390543,79.12174961858322
48,0.3014496138944557,0.428405235137275,0.3029380297110119,19.5901486,80.19066787842178
49,0.30226186666764115,0.4310405366432463,0.3017918449284349,19.58143606,82.17993414051962
